probeID	symbol	description	accession	ensg	unigene
17812		Transcribed locus	AI125228		Hs.666110
17813	ZDHHC21	"Zinc finger, DHHC-type containing 21"	AF161360		Hs.649522
17814			NM_015996		Data not found
17815	C1orf66	Chromosome 1 open reading frame 66	NM_015997	ENSG00000143303	Hs.512597
17816	IHH	Indian hedgehog homolog (Drosophila)	AA628967	ENSG00000163501	Hs.654504
17817			NM_015998		Data not found
17818	ADIPOR1	Adiponectin receptor 1	NM_015999	ENSG00000159346	Hs.5298
17819	LOC731157	Hypothetical LOC731157	AF161364	NA	Hs.551062
17820	NOVA1	Neuro-oncological ventral antigen 1	H18652		Hs.31588
17821	C20orf194	Chromosome 20 open reading frame 194	AI498144		Hs.516853
17822		HSPC102	AF161365	NA	Hs.606581
17823	hCG_2039148	Hypothetical protein LOC100132356	AW205475	NA	Hs.649468
17824	SDR42E1	"Short chain dehydrogenase/reductase family 42E, member 1"	AF161368	ENSG00000184860	Hs.87779
17825	SLC26A6	"Solute carrier family 26, member 6"	AF161369		Hs.663208
17826	GTPBP5	GTP binding protein 5 (putative)	AK001603	ENSG00000101181	Hs.340636
17827	EPHA7	EPH receptor A7	AI743069	ENSG00000135333|ENSG00000135333|ENSG00000135333	Hs.73962
17828	DHRS12	Dehydrogenase/reductase (SDR family) member 12	AI138671	ENSG00000102796	Hs.266728
17829		Transcribed locus	AA553367		Hs.663570
17830	EEPD1	Endonuclease/exonuclease/phosphatase family domain containing 1	AF161370		Hs.670591
17831		Transcribed locus	AI028191		Hs.130970
17832		Transcribed locus	H40696		Hs.658224
17833	C6orf153	Chromosome 6 open reading frame 153	AF161371	ENSG00000124541|ENSG00000124541	Hs.309231
17834	GUF1	GUF1 GTPase homolog (S. cerevisiae)	AK001607	ENSG00000151806|ENSG00000151806	Hs.546419
17835	WDR52	WD repeat domain 52	AI346359		Hs.584936
17836		"CDNA: FLJ23438 fis, clone HRC13275"	AA669569	NA	Hs.464404
17837	LOC344595	Hypothetical LOC344595	AW294590	NA	Hs.655735
17838		Transcribed locus	AA206365		Hs.477495
17839	CPVL	"Carboxypeptidase, vitellogenic-like"	AF217508	ENSG00000106066	Hs.233389
17840		Transcribed locus	AI142552		Hs.603315
17841	ADH6	Alcohol dehydrogenase 6 (class V)	AW194987		Hs.586161
17842	ZNF641	Zinc finger protein 641	AA435593		Hs.23492
17843	ELMO3	Engulfment and cell motility 3	AI955864	ENSG00000102890	Hs.377416
17844			AA476583		Data not found
17845	TMEM139	Transmembrane protein 139	AI627262	ENSG00000178826	Hs.17558
17846	RGL1	Ral guanine nucleotide dissociation stimulator-like 1	AF186780		Hs.497148
17847		"CDNA: FLJ21652 fis, clone COL08582"	AI801901	NA	Hs.98445
17848	FARP1	"FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)"	AW270133		Hs.403917
17849		Transcribed locus	T75482		Hs.655816
17850	LOC90784	Hypothetical protein LOC90784	AK001612	NA	Hs.696333
17851		Transcribed locus	AI739495		Hs.665460
17852		Full length insert cDNA clone YZ60H05	N69816	NA	Hs.659709
17853	ANKAR	Ankyrin and armadillo repeat containing	AI126423		Hs.655700
17854	FBF1	Fas (TNFRSF6) binding factor 1	AF161380	ENSG00000188878	Hs.442609
17855		Transcribed locus	AI421600		Hs.656776
17856	WDR73	WD repeat domain 73	AF161382	ENSG00000177082	Hs.719288
17857	PDE4DIP	Phosphodiesterase 4D interacting protein	AK001619		Hs.719077
17858		Transcribed locus	AA152232		Hs.702770
17859		Transcribed locus	AW007739		Hs.507971
17860	HBP1	HMG-box transcription factor 1	AI306491	ENSG00000105856|ENSG00000105856	Hs.162032
17861		"CDNA FLJ36574 fis, clone TRACH2012376"	AA897419		Hs.592478
17862	IGHMBP2	Immunoglobulin mu binding protein 2	AI245628		Hs.503048
17863	C6orf129	Chromosome 6 open reading frame 129	AF161383	ENSG00000198937	Hs.284207
17864	LUC7L2	LUC7-like 2 (S. cerevisiae)	AF161386	ENSG00000146963|ENSG00000146963	Hs.718441
17865		Transcribed locus	AI742356		Hs.599729
17866	MIER1	Mesoderm induction early response 1 homolog (Xenopus laevis)	N72892	ENSG00000198160	Hs.652983
17867	PAK2	P21 protein (Cdc42/Rac)-activated kinase 2	W74494		Hs.518530
17868	CACNA1E	"Calcium channel, voltage-dependent, R type, alpha 1E subunit"	AA931556		Hs.437444
17869	SAMD5	Sterile alpha motif domain containing 5	AA453400		Hs.567973
17870	C9orf61	Chromosome 9 open reading frame 61	AA524029	ENSG00000135063	Hs.118003
17871			R11644		Data not found
17872		"Transcribed locus, moderately similar to NP_001008663.1 keratin 5 [Bos taurus]"	AW138905	NA	Hs.529180
17873			AK001627		Data not found
17874	DSCAM	Down syndrome cell adhesion molecule	AF217525	ENSG00000171587	Hs.397800
17875		Transcribed locus	AA973094		Hs.400431
17876		Transcribed locus	AI479387		Hs.126468
17877	C20orf117	Chromosome 20 open reading frame 117	AA570398		Hs.719179
17878	DAB2	"Disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)"	AI739507	ENSG00000153071|ENSG00000153071	Hs.481980
17879	KRTAP13-2	Keratin associated protein 13-2	W72002	ENSG00000182816	Hs.58152
17880	NXN	Nucleoredoxin	AI632160	ENSG00000167693	Hs.527989
17881		Transcribed locus	AI073432		Hs.29546
17882		Transcribed locus	AA488198		Hs.706064
17883	ETS1	V-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	AK001630		Hs.369438
17884		"Unidentified mRNA, partial sequence"	U43604	NA	Hs.550193
17885		Transcribed locus	AI150084		Hs.537594
17886		Transcribed locus	AI037934		Hs.688066
17887		Transcribed locus	AI379468		Hs.633793
17888	SEC61A2	Sec61 alpha 2 subunit (S. cerevisiae)	AA815300		Hs.112955
17889		"CDNA FLJ10041 fis, clone HEMBA1001022"	AK000903	NA	Hs.675439
17890	TRIM66	Tripartite motif-containing 66	AK000908	ENSG00000166436	Hs.130836
17891	ZNF649	Zinc finger protein 649	AK000909	ENSG00000198093	Hs.567573
17892	EIF4A2	"Eukaryotic translation initiation factor 4A, isoform 2"	AA406081	ENSG00000156976|ENSG00000156976	Hs.599481
17893	C12orf52	Chromosome 12 open reading frame 52	AW157248	ENSG00000139405	Hs.524762
17894	C8orf73	Chromosome 8 open reading frame 73	AW182396	ENSG00000204839	Hs.531406
17895	FBXL18	F-box and leucine-rich repeat protein 18	AK001638		Hs.623974
17896	PTPN11	"Protein tyrosine phosphatase, non-receptor type 11"	D13540		Hs.506852
17897	JRK	Jerky homolog (mouse)	AF072467	NA	Hs.535903
17898		"Transcribed locus, strongly similar to XP_001166561.1 PREDICTED: hypothetical protein [Pan troglodytes]"	AW197616	NA	Hs.634042
17899		Transcribed locus	AA702817		Hs.687411
17900	ST8SIA4	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4"	AI139479		Hs.308628
17901		CDNA clone IMAGE:4838568	AA827922	NA	Hs.369935
17902	UBE2V2	Ubiquitin-conjugating enzyme E2 variant 2	AF049140	ENSG00000169139	Hs.491695
17903	YTHDC2	YTH domain containing 2	AK000915	ENSG00000047188	Hs.231942
17904		Transcribed locus	AI014690		Hs.114914
17905	SSX2	"Synovial sarcoma, X breakpoint 2"	Z49105	ENSG00000187754|ENSG00000157950|ENSG00000187754|ENSG00000157950	Hs.661107
17906	ANKRD13D	"Ankyrin repeat domain 13 family, member D"	AI393179	ENSG00000172932	Hs.438673
17907	IGLV6-57	Immunoglobulin lambda variable 6-57	AF063725	NA	Hs.535668
17908	EPC2	Enhancer of polycomb homolog 2 (Drosophila)	AI669026		Hs.23270
17909	THUMPD2	THUMP domain containing 2	AI694271	ENSG00000138050	Hs.468254
17910	FNDC5	Fibronectin type III domain containing 5	AI760132	ENSG00000160097	Hs.524234
17911	LOC572558	Hypothetical locus LOC572558	AW139550	NA	Hs.552819
17912	MT1E	Metallothionein 1E	H52525	ENSG00000169715	Hs.534330
17913	CDRT4	CMT1A duplicated region transcript 4	AW298044	ENSG00000175106	Hs.164595
17914	CARD8	"Caspase recruitment domain family, member 8"	R05711		Hs.655940
17915	IKZF1	IKAROS family zinc finger 1 (Ikaros)	AI741188		Hs.435949
17916			AK000923		Data not found
17917	DDX52	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52	AK001652	ENSG00000141141	Hs.590937
17918		Transcribed locus	AA452122		Hs.662686
17919	UBE2O	Ubiquitin-conjugating enzyme E2O	AK000926	ENSG00000175931	Hs.16130
17920	PEBP4	Phosphatidylethanolamine-binding protein 4	AI218954	ENSG00000134020	Hs.491242
17921	EBF3	Early B-cell factor 3	AA527166	ENSG00000108001|ENSG00000108001	Hs.591374
17922		CDNA clone IMAGE:4813920	AA088791	NA|NA	Hs.594876
17923	LOC100128545	Hypothetical protein LOC100128545	AI275010	NA	Hs.22495
17924	DGCR5	DiGeorge syndrome critical region gene 5 (non-protein coding)	AW135056	NA|NA	Hs.646438
17925	RND2	Rho family GTPase 2	AI884814		Hs.603111
17926		Transcribed locus	AI565177		Hs.436383
17927		Transcribed locus	AI744451		Hs.598827
17928	PRKAG2	"Protein kinase, AMP-activated, gamma 2 non-catalytic subunit"	AK000930		Hs.647072
17929		"CDNA FLJ30688 fis, clone FCBBF2000473"	AA416753	NA|NA	Hs.191599
17930	BCL2L15	BCL2-like 15	AI685244	ENSG00000188761	Hs.123106
17931	FASTKD1	FAST kinase domains 1	AI392678		Hs.529276
17932		Transcribed locus	AA688275		Hs.117299
17933	CHML	Choroideremia-like (Rab escort protein 2)	AK000933		Hs.654545
17934	KCNE3	"Potassium voltage-gated channel, Isk-related family, member 3"	AI148745	ENSG00000175538|ENSG00000175538	Hs.523899
17935	MGC21881	Hypothetical locus MGC21881	AW294192	NA	Hs.380240
17936	SALL4	Sal-like 4 (Drosophila)	AK001666	ENSG00000101115|ENSG00000101115	Hs.517113
17937	C9orf150	Chromosome 9 open reading frame 150	AI972386		Hs.445356
17938	LOC286272	Hypothetical protein LOC286272	AK000939	NA	Hs.657301
17939	SNAI3	Snail homolog 3 (Drosophila)	AI242071	ENSG00000185669	Hs.499548
17940	OTP	Orthopedia homeobox	AI733040	ENSG00000171540	Hs.202247
17941	C10orf104	Chromosome 10 open reading frame 104	AI310514	ENSG00000166295	Hs.426296
17942	UBAP2L	Ubiquitin associated protein 2-like	AA573288	ENSG00000143569|ENSG00000143569	Hs.490551
17943			AI609221		Data not found
17944		Partial mRNA; ID YG81-5A	AW241609	NA	Hs.651497
17945	CALCOCO2	Calcium binding and coiled-coil domain 2	AI806828	ENSG00000136436|ENSG00000136436	Hs.514920
17946	TAF15	"TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa"	AK000942	ENSG00000172660|ENSG00000172660	Hs.402752
17947	FANCM	"Fanconi anemia, complementation group M"	AK001672	ENSG00000187790	Hs.509229
17948	TEKT3	Tektin 3	AI613480	ENSG00000125409	Hs.414648
17949		Transcribed locus	AA609250		Hs.188213
17950			R07195		Data not found
17951			AK000947		Data not found
17952	FAM126A	"Family with sequence similarity 126, member A"	AI351898	ENSG00000122591|ENSG00000122591|ENSG00000122591	Hs.85603
17953	PGPEP1	Pyroglutamyl-peptidase I	AW058453		Hs.131776
17954		"CDNA FLJ45325 fis, clone BRHIP3006717"	AL133706	NA	Hs.292737
17955		Transcribed locus	AA682405		Hs.158316
17956		Transcribed locus	AI201185		Hs.119164
17957		Transcribed locus	W44578		Hs.633578
17958	MRPS15	Mitochondrial ribosomal protein S15	AA609958	ENSG00000116898	Hs.352839
17959		Transcribed locus	AI220472		Hs.598880
17960	HIATL1	Hippocampus abundant transcript-like 1	AI050869	ENSG00000148110	Hs.715500
17961		Transcribed locus	AI809889		Hs.112623
17962	CD109	CD109 molecule	AI948463		Hs.399891
17963		Transcribed locus	N39325		Hs.655897
17964	THUMPD3	THUMP domain containing 3	AK001680	ENSG00000134077	Hs.443081
17965		Transcribed locus	AW139760		Hs.209978
17966	FLJ20674	Hypothetical protein FLJ20674	AI813291	ENSG00000176834|ENSG00000176834	Hs.593950
17967	DGAT2	Diacylglycerol O-acyltransferase homolog 2 (mouse)	AW188221	ENSG00000062282	Hs.334305
17968	RBM26	RNA binding motif protein 26	AK000954	ENSG00000139746|ENSG00000139746	Hs.558528
17969			AI671903		Data not found
17970	KRT34	Keratin 34	AI131081	ENSG00000131737|ENSG00000131737	Hs.296942
17971	CCDC155	Coiled-coil domain containing 155	AA400740	ENSG00000161609	Hs.710331
17972		Transcribed locus	AI539519		Hs.713300
17973		"CDNA FLJ10095 fis, clone HEMBA1002430"	AK000957	NA	Hs.272208
17974	BEX4	"Brain expressed, X-linked 4"	AK000959	ENSG00000102409	Hs.184736
17975			AI769560		Data not found
17976			AI031771		Data not found
17977			M73547		Data not found
17978		CDNA clone IMAGE:4829245	AA629082	NA	Hs.568878
17979		Transcribed locus	AA854787		Hs.278064
17980	RBM10	RNA binding motif protein 10	AK000962	ENSG00000182872|ENSG00000182872	Hs.401509
17981	MYH10	"Myosin, heavy chain 10, non-muscle"	S67247	ENSG00000133026	Hs.16355
17982			AF119904		Data not found
17983			H68941		Data not found
17984		Transcribed locus	AI954795		Hs.156135
17985		Transcribed locus	AA551406		Hs.681129
17986	SOCS4	Suppressor of cytokine signaling 4	AI653056	ENSG00000180008	Hs.708344
17987	MTMR12	Myotubularin related protein 12	AK000967	ENSG00000150712	Hs.481836
17988	FBXL20	F-box and leucine-rich repeat protein 20	AI122770		Hs.462946
17989			R91034_RC		Data not found
17990			AA708112_RC		Data not found
17991		Transcribed locus	H29258		Hs.657145
17992			R38091		Data not found
17993	NUMBL	Numb homolog (Drosophila)-like	AF015041		Hs.326953
17994			Z23022		Data not found
17995		Transcribed locus	AI634650		Hs.662908
17996	FYCO1	FYVE and coiled-coil domain containing 1	AA628466	ENSG00000163820	Hs.714847
17997			AA884313		Data not found
17998			N29672		Data not found
17999	PDE8A	Phosphodiesterase 8A	AF056490	ENSG00000073417	Hs.9333
18000			AA617853		Data not found
18001		Transcribed locus	AA446327		Hs.599650
18002	GPM6B	Glycoprotein M6B	AW090299		Hs.495710
18003	SMC6	Structural maintenance of chromosomes 6	AW069285		Hs.526728
18004	LOC221442	Adenylate cyclase 10 pseudogene	AI674126	NA	Hs.374076
18005		Transcribed locus	N59774		Hs.656769
18006	ERG	V-ets erythroblastosis virus E26 oncogene homolog (avian)	AA706319		Hs.473819
18007		"CDNA FLJ37302 fis, clone BRAMY2016009"	AI809101	NA	Hs.599179
18008	BEND3	BEN domain containing 3	H98110	ENSG00000178409	Hs.418045
18009	LTBP3	Latent transforming growth factor beta binding protein 3	AF135960	ENSG00000168056|ENSG00000168056	Hs.289019
18010		"Transcribed locus, strongly similar to XP_370577.6 PREDICTED: hypothetical protein [Homo sapiens]"	AI142881	NA	Hs.666946
18011	MAK10	"MAK10 homolog, amino-acid N-acetyltransferase subunit (S. cerevisiae)"	AW007583	ENSG00000135040	Hs.436098
18012	FIBCD1	Fibrinogen C domain containing 1	AI218434	ENSG00000130720	Hs.133205
18013	MGEA5	Meningioma expressed antigen 5 (hyaluronidase)	AK000988		Hs.500842
18014	Sep-08	Septin 8	AI912094	ENSG00000164402|ENSG00000164402	Hs.522057
18015		Transcribed locus	AI948456		Hs.597990
18016	SORL1	"Sortilin-related receptor, L(DLR class) A repeats-containing"	AA765283		Hs.368592
18017			AI934979		Data not found
18018		Transcribed locus	AI005065		Hs.130431
18019	UGT3A1	"UDP glycosyltransferase 3 family, polypeptide A1"	AW173071	ENSG00000145626|ENSG00000145626	Hs.254699
18020	LOC100131316	Hypothetical protein LOC100131316	AI001788	NA	Hs.602178
18021	RGS3	Regulator of G-protein signaling 3	U27655	ENSG00000138835|ENSG00000138835|ENSG00000138835	Hs.494875
18022	DDX43	DEAD (Asp-Glu-Ala-Asp) box polypeptide 43	AJ278110	ENSG00000080007|ENSG00000080007	Hs.125507
18023		"CDNA FLJ10130 fis, clone HEMBA1003035"	AK000992	NA	Hs.658833
18024	C7orf28B	Chromosome 7 open reading frame 28B	AK000993	ENSG00000146574|ENSG00000122674	Hs.567779
18025		Clone TEC_XX-FW81657B9.5-001_REV mRNA sequence	AA642476	NA	Hs.660522
18026	PGM2L1	Phosphoglucomutase 2-like 1	AA224245		Hs.26612
18027	hCG_1730474	Hypothetical protein LOC643376	AK000995	NA	Hs.606355
18028	ZNF124	Zinc finger protein 124	AA629263		Hs.421238
18029		Transcribed locus	AI097328		Hs.603174
18030		Transcribed locus	AA983908		Hs.666458
18031	HS6ST2	Heparan sulfate 6-O-sulfotransferase 2	AI767756	ENSG00000171004	Hs.385956
18032	LOC100131733	Hypothetical protein LOC100131733	AA142876	NA	Hs.660996
18033	C9orf27	Chromosome 9 open reading frame 27	AI041152	NA	Hs.23367
18034	SYNCRIP	"Synaptotagmin binding, cytoplasmic RNA interacting protein"	AI028196	ENSG00000135316|ENSG00000135316|ENSG00000135316|ENSG00000135316	Hs.571177
18035	ZNF493	Zinc finger protein 493	AI122756	ENSG00000196268	Hs.656558
18036	GJC1	"Gap junction protein, gamma 1, 45kDa"	AI142888		Hs.532593
18037	HELQ	"Helicase, POLQ-like"	AW084661	ENSG00000163312	Hs.480101
18038	BAG4	BCL2-associated athanogene 4	AW173204	ENSG00000156735|ENSG00000156735	Hs.194726
18039	COASY	Coenzyme A synthase	U18919	ENSG00000068120	Hs.709231
18040	UNC13C	Unc-13 homolog C (C. elegans)	AA758187	ENSG00000137766	Hs.657273
18041		Transcribed locus	AA085906		Hs.660736
18042		Transcribed locus	AA648962		Hs.664301
18043	SF3B5	"Splicing factor 3b, subunit 5, 10kDa"	AA811340	ENSG00000169976	Hs.110695
18044	IGHG1	Immunoglobulin heavy constant gamma 1 (G1m marker)	AF013620		Hs.510635
18045		Transcribed locus	AI753247		Hs.708502
18046	NIN	Ninein (GSK3B interacting protein)	AW088639		Hs.310429
18047		Transcribed locus	AI537482		Hs.667037
18048		Transcribed locus	AI024560		Hs.128380
18049			AF103295		Data not found
18050		Transcribed locus	T97999		Hs.602953
18051	SOX2	SRY (sex determining region Y)-box 2	AI669815	ENSG00000181449|ENSG00000181449	Hs.518438
18052	GSTA3	Glutathione S-transferase alpha 3	AF020919	ENSG00000174156	Hs.102484
18053			S58544		Data not found
18054	HIP1	Huntingtin interacting protein 1	AI918081	ENSG00000127946|ENSG00000127946	Hs.329266
18055		Transcribed locus	N62898		Hs.657058
18056	DUSP7	Dual specificity phosphatase 7	X93921	ENSG00000164086	Hs.591664
18057	CPEB2	Cytoplasmic polyadenylation element binding protein 2	AI948598	ENSG00000137449|ENSG00000137449	Hs.656937
18058	SH2D4A	SH2 domain containing 4A	AI494036	ENSG00000104611	Hs.303208
18059	EFHC1	EF-hand domain (C-terminal) containing 1	NM_018100	ENSG00000096093	Hs.403171
18060	CDCA8	Cell division cycle associated 8	NM_018101	ENSG00000134690	Hs.524571
18061	ZNF334	Zinc finger protein 334	NM_018102	ENSG00000198185	Hs.584933
18062	LRRC8D	"Leucine rich repeat containing 8 family, member D"	NM_018103	ENSG00000171492	Hs.588647
18063			NM_018104		Data not found
18064	THAP1	"THAP domain containing, apoptosis associated protein 1"	NM_018105	ENSG00000131931	Hs.7432
18065	ZDHHC4	"Zinc finger, DHHC-type containing 4"	NM_018106	ENSG00000136247	Hs.5268
18066	RBM23	RNA binding motif protein 23	NM_018107	ENSG00000100461	Hs.4997
18067		"CDNA FLJ41737 fis, clone HSYRA2001983"	AW237290	NA	Hs.656304
18068			NM_018108		Data not found
18069	MTPAP	Mitochondrial poly(A) polymerase	NM_018109		Hs.173946
18070		Transcribed locus	AI291804		Hs.118101
18071		Transcribed locus	AI148630		Hs.42279
18072		Transcribed locus	AI821998		Hs.221436
18073	AHNAK	AHNAK nucleoprotein	M80899		Hs.502756
18074	ZNF326	Zinc finger protein 326	AI057121	ENSG00000162664|ENSG00000162664	Hs.306221
18075	HSCB	HscB iron-sulfur cluster co-chaperone homolog (E. coli)	AI796137	ENSG00000100209	Hs.632780
18076	HARS2	"Histidyl-tRNA synthetase 2, mitochondrial (putative)"	U18937	ENSG00000112855	Hs.432560
18077		Transcribed locus	AA827683		Hs.202201
18078	KRTDAP	Keratinocyte differentiation-associated protein	W60320	ENSG00000188508	Hs.112457
18079	DOK4	Docking protein 4	NM_018110	ENSG00000125170	Hs.279832
18080	C19orf73	Chromosome 19 open reading frame 73	NM_018111	ENSG00000221916	Hs.458310
18081	TMEM38B	Transmembrane protein 38B	NM_018112		Hs.411925
18082	LMBR1L	Limb region 1 homolog (mouse)-like	NM_018113	ENSG00000139636	Hs.272838
18083	DALRD3	DALR anticodon binding domain containing 3	NM_018114	ENSG00000178149	Hs.708076
18084	SDAD1	SDA1 domain containing 1	NM_018115	ENSG00000198301	Hs.632604
18085	MSTO1	Misato homolog 1 (Drosophila)	NM_018116	ENSG00000125459	Hs.656547
18086	BRWD2	Bromodomain and WD repeat domain containing 2	NM_018117	ENSG00000120008	Hs.144447
18087	CCDC104	Coiled-coil domain containing 104	AW296193	ENSG00000163001	Hs.264208
18088			NM_018118		Data not found
18089	POLR3E	Polymerase (RNA) III (DNA directed) polypeptide E (80kD)	NM_018119	ENSG00000058600	Hs.460298
18090	DIDO1	Death inducer-obliterator 1	AW297155		Hs.517172
18091	FREM3	FRAS1 related extracellular matrix 3	H09749	ENSG00000183090	Hs.252714
18092		Transcribed locus	AI004034		Hs.662548
18093	TMEM67	Transmembrane protein 67	AI453573	ENSG00000164953|ENSG00000164953	Hs.116240
18094	DDX31	DEAD (Asp-Glu-Ala-Asp) box polypeptide 31	AI214317	ENSG00000125485|ENSG00000125485	Hs.660767
18095	C7orf36	Chromosome 7 open reading frame 36	AA206758	ENSG00000106540	Hs.83313
18096		"CDNA FLJ36559 fis, clone TRACH2009291"	AI016316	NA	Hs.491292
18097	COPS4	COP9 constitutive photomorphogenic homolog subunit 4 (Arabidopsis)	AW085570	ENSG00000138663|ENSG00000138663	Hs.190384
18098	ARMC1	Armadillo repeat containing 1	NM_018120	ENSG00000104442	Hs.269542
18099	FAM178A	"Family with sequence similarity 178, member A"	NM_018121	ENSG00000119906	Hs.447458
18100	DARS2	"Aspartyl-tRNA synthetase 2, mitochondrial"	NM_018122	ENSG00000117593	Hs.647707
18101			NM_018123		Data not found
18102			AW129581		Data not found
18103	RFWD3	Ring finger and WD repeat domain 3	NM_018124	ENSG00000168411	Hs.567525
18104	ARHGEF10L	Rho guanine nucleotide exchange factor (GEF) 10-like	NM_018125	ENSG00000074964	Hs.443460
18105	TMEM33	Transmembrane protein 33	NM_018126		Hs.31082
18106	ELAC2	ElaC homolog 2 (E. coli)	NM_018127	ENSG00000006744	Hs.434232
18107	TSR1	"TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)"	NM_018128	ENSG00000167721	Hs.388170
18108	PNPO	Pyridoxamine 5'-phosphate oxidase	NM_018129		Hs.631742
18109	MICAL3	"Microtubule associated monoxygenase, calponin and LIM domain containing 3"	AB020626	ENSG00000093100|ENSG00000093100|ENSG00000093100	Hs.528024
18110	DNLZ	DNL-type zinc finger	AI768208	ENSG00000213221	Hs.528581
18111	DNM3	Dynamin 3	AB020627		Hs.654775
18112	PCMTD1	Protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	AI087955	ENSG00000168300|ENSG00000168300	Hs.308480
18113		Transcribed locus	AI026691		Hs.654974
18114		Transcribed locus	AA398770		Hs.662256
18115	DCLK2	Doublecortin-like kinase 2	AI523594	ENSG00000170390	Hs.591683
18116		Transcribed locus	AA725844		Hs.664002
18117	A2M	Alpha-2-macroglobulin	NM_000014	ENSG00000175899|ENSG00000175899	Hs.212838
18118	NAT2	N-acetyltransferase 2 (arylamine N-acetyltransferase)	NM_000015	ENSG00000156006	Hs.2
18119		CDNA clone IMAGE:5296164	AI674705	NA|NA	Hs.369473
18120	FARP1	"FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)"	AI028516	ENSG00000152767|ENSG00000152767|ENSG00000152767	Hs.403917
18121		Transcribed locus	AW003989		Hs.657590
18122	ACADM	"Acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain"	NM_000016	ENSG00000117054	Hs.445040
18123	CXorf36	Chromosome X open reading frame 36	AI127102		Hs.98321
18124	ACADS	"Acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain"	NM_000017	ENSG00000122971	Hs.507076
18125	ACADVL	"Acyl-Coenzyme A dehydrogenase, very long chain"	NM_000018	ENSG00000072778	Hs.437178
18126	ACAT1	Acetyl-Coenzyme A acetyltransferase 1	NM_000019	ENSG00000075239	Hs.232375
18127	SHQ1	SHQ1 homolog (S. cerevisiae)	NM_018130	ENSG00000144736	Hs.606584
18128	CEP55	Centrosomal protein 55kDa	NM_018131	ENSG00000138180	Hs.14559
18129	CENPQ	Centromere protein Q	NM_018132	ENSG00000031691	Hs.88663
18130	MSL2	Male-specific lethal 2 homolog (Drosophila)	NM_018133	ENSG00000174579	Hs.18631
18131		Transcribed locus	AI078428		Hs.597738
18132	IQCC	IQ motif containing C	NM_018134	ENSG00000160051	Hs.274356
18133	MRPS18A	Mitochondrial ribosomal protein S18A	NM_018135	ENSG00000096080	Hs.520149
18134	PNPLA3	Patatin-like phospholipase domain containing 3	AL138578	ENSG00000100344	Hs.654800
18135	ASPM	"Asp (abnormal spindle) homolog, microcephaly associated (Drosophila)"	NM_018136		Hs.121028
18136	PPP1R16B	"Protein phosphatase 1, regulatory (inhibitor) subunit 16B"	AB020630	ENSG00000101445	Hs.45719
18137	PRMT6	Protein arginine methyltransferase 6	NM_018137	ENSG00000198890	Hs.26006
18138	TBCCD1	TBCC domain containing 1	NM_018138	ENSG00000113838	Hs.518469
18139	HOXC10	Homeobox C10	NM_017409	ENSG00000180818	Hs.44276
18140		Transcribed locus	AA057420		Hs.660567
18141	C5orf36	Chromosome 5 open reading frame 36	AB020632	ENSG00000185261|ENSG00000175483	Hs.425123
18142	C14orf104	Chromosome 14 open reading frame 104	NM_018139	ENSG00000165506	Hs.231761
18143	FRYL	FRY-like	AB020633	ENSG00000075539	Hs.631525
18144	PTPDC1	Protein tyrosine phosphatase domain containing 1	AI694214		Hs.437943
18145	AHCYL2	S-adenosylhomocysteine hydrolase-like 2	AB020635		Hs.600789
18146	CAND1	Cullin-associated and neddylation-dissociated 1	AB020636	ENSG00000111530|ENSG00000111530	Hs.546407
18147	ENDOD1	Endonuclease domain containing 1	AB020637	ENSG00000149218	Hs.167115
18148	PRDM6	PR domain containing 6	AI683181	ENSG00000061455	Hs.135118
18149		Transcribed locus	AI394045		Hs.148901
18150			AI017318		Data not found
18151	UCMA	Upper zone of growth plate and cartilage matrix associated	AA628504	ENSG00000165623	Hs.112998
18152	CBX6	Chromobox homolog 6	AI458128		Hs.592201
18153	ACVRL1	Activin A receptor type II-like 1	NM_000020	ENSG00000139567|ENSG00000139567	Hs.591026
18154	PSEN1	Presenilin 1	NM_000021	ENSG00000080815|ENSG00000080815|ENSG00000080815	Hs.3260
18155		Transcribed locus	AI050703		Hs.133190
18156			H94893		Data not found
18157			AA778627		Data not found
18158			AA262950		Data not found
18159	ADA	Adenosine deaminase	NM_000022	ENSG00000196839	Hs.654536
18160	SGCA	"Sarcoglycan, alpha (50kDa dystrophin-associated glycoprotein)"	NM_000023	ENSG00000108823	Hs.463412
18161	ADRB2	"Adrenergic, beta-2-, receptor, surface"	NM_000024	ENSG00000169252	Hs.591251
18162	ADRB3	"Adrenergic, beta-3-, receptor"	NM_000025	ENSG00000188778	Hs.2549
18163	ZNF668	Zinc finger protein 668	AI950086	ENSG00000167394	Hs.707346
18164	ADSL	Adenylosuccinate lyase	NM_000026	ENSG00000100357	Hs.75527
